-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2025 through 12/31/2025 in LST
Location: latitude  -7.629   longitude 111.524 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 222.2 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) 
CLRSKY_SFC_SW_DWN     CERES SYN1deg Clear Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) 
T2M                   MERRA-2 Temperature at 2 Meters (C) 
T2M_MAX               MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN               MERRA-2 Temperature at 2 Meters Minimum (C) 
RH2M                  MERRA-2 Relative Humidity at 2 Meters (%) 
WS10M                 MERRA-2 Wind Speed at 10 Meters (m/s) 
PRECTOTCORR           MERRA-2 Precipitation Corrected (mm/day) 
-END HEADER-
YEAR,MO,DY,ALLSKY_SFC_SW_DWN,CLRSKY_SFC_SW_DWN,T2M,T2M_MAX,T2M_MIN,RH2M,WS10M,PRECTOTCORR
2025,3,6,4.8758,6.87,26.45,30.13,23.71,89.55,1.15,2.56
2025,3,7,4.6709,6.7963,26.16,29.62,23.66,88.66,2.19,6.41
2025,3,8,5.1866,6.9415,25.71,28.86,23.68,91.85,2.24,25.3
2025,3,9,5.3498,7.1364,25.83,29.56,23.0,88.47,1.95,12.0
2025,3,10,3.1032,7.2326,25.39,28.32,23.52,90.32,1.9,18.91
2025,3,11,5.4101,7.2593,26.19,30.14,22.9,85.47,1.54,3.4
2025,3,12,4.9826,7.1501,26.31,29.88,23.02,87.07,1.59,0.06
2025,3,13,5.4684,7.0915,26.25,30.36,22.17,84.55,1.32,12.58
2025,3,14,4.3066,6.9739,25.68,28.12,24.09,91.5,1.3,14.62
2025,3,15,4.7167,7.0385,24.86,26.58,23.59,92.83,1.9,19.93
2025,3,16,4.6378,6.9619,25.13,27.59,23.37,93.86,1.92,16.93
2025,3,17,4.3315,7.1786,25.18,28.09,22.61,92.09,2.48,21.62
2025,3,18,4.9632,6.9787,25.27,28.29,22.99,92.05,2.37,15.33
2025,3,19,3.043,6.9574,25.33,28.85,22.59,89.46,2.39,6.78
2025,3,20,5.3052,7.0246,25.54,29.53,22.29,89.54,3.16,0.86
2025,3,21,5.4943,6.8609,25.75,29.2,23.02,89.71,2.23,9.26
2025,3,22,2.8037,6.8822,25.22,27.98,23.2,92.0,2.52,14.59
2025,3,23,5.2358,6.9413,25.03,28.09,22.55,88.53,2.58,2.26
2025,3,24,4.9656,6.8767,25.59,29.13,22.45,88.93,2.78,5.1
2025,3,25,5.4278,7.0154,25.34,28.46,23.1,91.93,2.7,1.64
2025,3,26,4.9337,7.0589,25.98,29.48,22.88,90.79,2.4,2.28
2025,3,27,4.871,6.9564,26.31,29.25,23.76,88.69,1.36,3.97
2025,3,28,2.8248,6.7027,26.2,29.16,23.8,90.02,1.73,18.04
2025,3,29,4.9661,6.8402,26.19,29.7,23.51,86.7,2.38,5.61
2025,3,30,4.7645,6.9665,25.86,28.83,23.13,88.63,1.76,11.26
2025,3,31,5.5613,7.0186,26.21,30.2,22.72,87.6,1.82,9.4
2025,4,1,5.4862,6.7538,24.78,27.14,23.05,89.66,1.76,53.53
2025,4,2,4.9193,6.7318,25.8,30.18,22.29,84.66,0.98,0.66
2025,4,3,4.0212,6.6274,25.32,28.1,23.35,90.06,1.21,17.38
2025,4,4,5.809,6.7819,25.58,30.12,21.99,82.05,1.64,3.89
2025,4,5,5.3522,6.4889,26.26,30.66,22.23,83.32,1.16,0.72
2025,4,6,5.9554,6.6833,25.53,29.26,22.36,85.2,1.95,8.01
2025,4,7,5.8942,6.773,25.83,30.2,21.81,85.55,1.89,16.21
2025,4,8,5.2745,6.6125,26.28,30.32,22.6,87.15,1.45,0.68
2025,4,9,5.4252,6.4956,25.73,27.46,24.1,90.04,1.26,1.43
2025,4,10,4.032,6.1589,26.01,29.52,22.56,86.19,0.91,3.76
2025,4,11,4.4057,6.4133,26.28,30.1,23.15,86.88,1.49,4.82
2025,4,12,5.0866,6.3994,26.23,29.81,22.93,88.36,1.77,0.75
2025,4,13,4.7318,6.2846,25.65,28.28,23.89,92.01,2.21,4.45
2025,4,14,4.1153,6.1807,26.05,29.54,23.15,86.68,1.21,23.65
2025,4,15,4.8396,6.017,26.31,30.26,22.98,85.39,1.6,1.51
2025,4,16,4.8233,5.898,26.92,30.68,23.18,83.12,1.04,1.6
2025,4,17,3.4387,5.8147,25.46,27.74,23.73,90.16,1.06,2.63
2025,4,18,3.3175,6.1207,25.36,27.91,23.43,89.49,1.56,0.02
2025,4,19,5.2594,6.3535,26.44,30.24,23.04,85.59,1.27,0.47
2025,4,20,4.4122,6.341,25.93,28.95,23.43,88.56,1.69,11.9
2025,4,21,5.0726,6.3636,26.2,30.14,22.98,86.52,1.78,5.86
2025,4,22,5.0758,6.426,26.06,30.16,22.92,87.23,2.35,2.42
2025,4,23,5.394,6.492,25.11,30.02,20.79,86.16,2.8,0.46
2025,4,24,6.0348,6.5722,24.87,30.36,19.45,77.66,1.59,0.39
2025,4,25,4.8814,6.1812,25.39,29.9,21.09,85.86,1.42,12.5
2025,4,26,5.2447,5.9786,26.04,29.02,23.94,87.41,0.73,14.52
2025,4,27,5.5992,6.2674,25.99,30.08,22.47,84.9,1.53,0.06
2025,4,28,5.6585,6.4637,24.61,29.73,20.22,83.07,2.56,0.03
2025,4,29,6.0922,6.4334,24.67,29.49,20.41,83.37,2.91,0.0
2025,4,30,5.3969,6.3972,25.35,29.89,21.06,83.89,2.25,0.0
2025,5,1,5.4041,6.131,25.97,30.34,22.11,85.7,2.15,17.94
2025,5,2,4.2972,5.9882,25.66,29.39,22.6,90.82,2.18,47.56
2025,5,3,4.9814,6.0067,26.02,30.07,22.73,88.46,2.19,6.03
2025,5,4,5.1048,6.0161,26.25,30.17,22.78,87.84,1.94,3.98
2025,5,5,5.2567,6.0744,26.36,29.84,23.0,88.52,1.74,4.08
2025,5,6,4.812,6.1524,26.55,29.41,24.4,89.37,1.87,2.72
2025,5,7,4.7134,6.0341,26.28,29.19,23.95,89.58,1.57,0.19
2025,5,8,4.3942,5.8702,26.1,28.61,24.08,91.27,1.46,1.03
2025,5,9,4.399,5.8579,25.59,27.91,23.37,91.24,1.56,4.9
2025,5,10,5.3071,5.8675,26.35,30.76,22.54,84.38,1.23,5.86
2025,5,11,4.8919,5.6772,26.25,29.88,23.53,88.6,1.1,26.51
2025,5,12,4.1618,5.5927,26.4,30.12,23.32,87.11,0.7,10.16
2025,5,13,3.851,5.4931,25.42,27.7,24.11,94.92,1.06,16.81
2025,5,14,4.3865,5.754,25.57,27.73,24.16,95.08,1.7,9.48
2025,5,15,4.5398,5.6921,25.7,28.33,23.99,91.1,2.21,9.49
2025,5,16,4.2343,5.4883,25.98,29.1,23.45,90.34,1.84,5.2
2025,5,17,4.1215,5.5514,25.19,27.41,23.62,93.33,2.43,13.69
2025,5,18,4.4249,5.6122,24.81,26.68,23.3,94.05,2.07,8.34
2025,5,19,4.1302,5.646,25.2,27.62,23.46,93.9,2.09,20.91
2025,5,20,4.5286,5.665,25.61,28.7,23.51,91.19,1.65,1.4
2025,5,21,4.4414,5.598,26.17,30.21,23.09,89.39,2.53,28.44
2025,5,22,4.3238,5.5918,25.92,29.08,23.22,90.5,2.1,24.27
2025,5,23,3.3523,5.677,25.19,27.91,23.25,92.2,2.22,22.56
2025,5,24,4.2338,5.6431,24.9,28.22,22.7,91.03,2.32,19.43
2025,5,25,4.199,5.8992,25.32,29.28,22.24,90.71,2.35,5.01
2025,5,26,2.249,5.815,25.15,28.19,23.24,91.24,2.57,11.49
2025,5,27,3.9653,5.5978,25.48,28.23,23.25,92.7,2.59,1.04
2025,5,28,4.3646,5.4122,26.31,30.42,22.6,85.42,1.49,0.01
2025,5,29,4.8156,5.6477,26.25,30.42,22.71,86.38,1.79,2.86
2025,5,30,5.0261,5.7245,26.38,30.86,22.03,82.31,1.54,0.39
2025,5,31,4.357,5.4413,25.99,29.5,23.33,89.14,1.57,6.27
2025,6,1,4.0994,5.4674,25.71,29.64,22.59,84.41,1.5,0.06
2025,6,2,4.5912,5.591,25.95,29.76,22.58,84.45,1.14,0.0
2025,6,3,5.1425,5.6328,25.93,30.25,22.24,86.43,1.74,0.01
2025,6,4,4.973,5.6923,25.98,30.04,22.22,85.77,1.39,2.89
2025,6,5,5.0974,5.6849,25.83,29.8,22.86,87.82,2.31,1.65
2025,6,6,5.4461,5.7264,25.54,29.84,21.77,84.98,2.35,0.0
2025,6,7,5.3738,5.7643,25.38,29.87,21.8,86.58,2.6,0.0
2025,6,8,4.2682,5.5442,25.4,29.56,21.9,88.3,2.9,8.96
2025,6,9,3.8758,5.5176,25.58,28.63,22.93,88.84,2.47,4.65
2025,6,10,4.0891,5.4022,25.45,28.65,23.43,90.46,2.42,17.2
2025,6,11,4.1875,5.4806,25.06,29.16,22.08,87.8,3.06,9.97
2025,6,12,4.9298,5.8126,24.81,29.32,20.87,86.63,3.0,0.08
2025,6,13,3.6209,5.5454,25.55,29.55,22.14,88.46,2.6,0.08
2025,6,14,4.2048,5.5207,25.56,28.48,23.35,92.13,2.06,2.78
2025,6,15,4.5449,5.5541,26.19,30.05,22.75,86.82,1.87,0.63
2025,6,16,4.3349,5.4502,26.15,29.8,23.05,88.67,2.22,13.14
2025,6,17,4.4081,5.4156,25.93,29.99,23.26,87.52,2.35,7.94
2025,6,18,4.4302,5.4787,24.66,28.05,22.37,88.18,1.97,4.8
2025,6,19,4.2118,5.3885,24.91,28.22,21.18,84.98,1.11,0.01
2025,6,20,3.5981,5.3314,24.9,27.5,22.91,87.25,0.9,0.0
2025,6,21,4.7402,5.3093,25.69,29.6,22.08,85.96,1.32,5.85
2025,6,22,3.5995,5.1994,25.1,28.46,22.7,89.5,2.5,1.79
2025,6,23,4.9183,5.4499,25.06,29.41,21.52,85.74,2.63,0.09
2025,6,24,4.8437,5.5097,25.02,29.14,21.29,85.94,2.4,0.01
2025,6,25,4.4966,5.3791,25.29,29.32,22.43,86.23,2.65,0.0
2025,6,26,4.7359,5.3182,25.22,29.19,21.77,87.52,2.76,0.0
2025,6,27,4.3181,5.4811,25.62,29.62,22.31,88.25,2.63,11.41
2025,6,28,4.056,5.4612,25.36,29.51,22.18,88.16,2.88,8.09
2025,6,29,4.4386,5.4703,24.69,28.51,21.51,88.43,2.79,1.01
2025,6,30,3.984,5.5601,24.67,28.75,21.49,88.05,2.72,0.25
2025,7,1,4.6874,5.6038,25.25,29.63,21.17,85.6,2.11,0.08
2025,7,2,5.0832,5.4866,25.37,29.53,22.03,87.15,2.39,2.92
2025,7,3,3.7764,5.2846,25.22,29.42,22.56,88.15,2.98,3.77
2025,7,4,4.4753,5.4377,24.83,29.19,21.88,86.89,3.08,0.22
2025,7,5,3.9516,5.4953,24.88,29.11,21.68,86.73,2.3,0.0
2025,7,6,2.5795,5.449,24.9,28.23,22.14,87.93,1.94,0.31
2025,7,7,3.9245,5.5802,25.15,28.86,22.26,89.7,2.54,11.71
2025,7,8,4.8802,5.7307,24.43,28.86,21.11,85.88,3.21,0.18
2025,7,9,5.8222,5.9647,22.89,27.44,19.35,84.31,3.49,0.0
2025,7,10,5.7012,5.9381,23.2,28.22,18.29,82.99,2.64,0.0
2025,7,11,5.0916,5.7053,23.73,28.64,19.63,82.41,2.27,0.0
2025,7,12,4.0222,5.7269,24.26,29.25,19.48,86.11,2.4,0.0
2025,7,13,4.3745,5.573,25.1,29.45,21.48,87.51,2.86,5.2
2025,7,14,4.9565,5.6849,24.83,29.41,21.88,86.05,3.32,0.46
2025,7,15,4.5602,5.5138,25.06,29.34,21.08,85.11,2.47,0.0
2025,7,16,5.113,5.6362,24.67,28.99,21.79,85.31,3.57,0.0
2025,7,17,5.2819,5.749,24.02,29.26,20.19,83.89,3.11,0.0
2025,7,18,5.3078,5.7379,23.85,29.15,20.01,82.78,2.34,0.0
2025,7,19,5.5747,5.8649,23.27,28.62,18.59,82.6,2.3,0.0
2025,7,20,5.7595,5.9023,23.41,28.84,19.14,83.2,2.82,0.0
2025,7,21,5.646,6.0494,22.81,28.44,18.19,83.08,2.93,0.0
2025,7,22,5.6988,5.952,23.83,29.27,18.76,82.17,2.44,0.0
2025,7,23,5.1211,5.8001,24.85,30.17,19.95,84.38,2.02,0.16
2025,7,24,4.8089,5.6974,25.23,30.11,21.13,85.33,2.63,0.57
2025,7,25,4.9553,5.7334,25.58,30.39,21.69,84.71,2.78,0.2
2025,7,26,5.0674,5.7353,25.92,30.73,21.89,84.01,2.35,0.01
2025,7,27,5.2649,5.6381,25.52,29.61,22.45,85.78,2.65,0.39
2025,7,28,5.0561,5.5678,25.47,29.55,22.37,85.48,3.07,0.3
2025,7,29,4.6366,5.7922,25.29,30.1,22.4,83.42,4.46,0.13
2025,7,30,4.3181,5.8625,24.85,30.06,21.63,82.24,4.0,0.16
2025,7,31,5.3143,6.0502,25.09,30.26,21.37,81.39,3.18,0.03
2025,8,1,5.6827,6.2011,25.42,30.87,20.4,80.39,2.43,0.0
2025,8,2,5.4413,6.102,26.17,31.76,20.95,82.0,2.15,0.01
2025,8,3,5.105,5.9887,26.14,30.88,22.49,84.72,2.66,14.07
2025,8,4,5.1271,5.7926,26.27,31.22,22.12,82.73,2.08,3.27
2025,8,5,4.7578,5.67,25.79,30.42,22.64,84.81,1.91,4.38
2025,8,6,5.868,5.9357,25.21,30.8,21.41,81.49,2.52,0.43
2025,8,7,5.3683,6.0737,25.47,30.87,20.37,81.43,1.67,0.0
2025,8,8,5.165,6.1488,25.77,30.98,21.81,80.47,1.74,0.0
2025,8,9,5.6321,6.1039,26.07,31.34,21.32,80.39,2.0,0.0
2025,8,10,5.0033,6.0089,25.74,29.92,22.26,83.75,2.06,5.24
2025,8,11,5.2426,5.9798,25.08,29.31,22.13,85.92,2.77,12.82
2025,8,12,4.9104,5.7458,25.33,29.55,22.04,84.1,2.48,4.53
2025,8,13,4.8185,5.9786,24.98,29.99,20.85,79.94,2.94,0.14
2025,8,14,5.1871,6.0298,24.15,29.85,20.23,76.2,4.1,0.02
2025,8,15,5.4571,6.282,24.08,29.78,19.06,78.3,3.48,0.73
2025,8,16,5.8169,6.3655,25.21,31.12,20.38,78.29,3.01,0.14
2025,8,17,5.9364,6.4294,25.67,31.82,20.49,78.76,2.24,0.01
2025,8,18,4.3397,6.2222,25.62,30.85,21.19,81.64,2.35,0.07
2025,8,19,3.2947,6.0242,25.63,29.28,22.79,85.06,1.44,12.74
2025,8,20,4.5518,6.0641,24.43,27.83,22.08,88.31,2.01,7.59
2025,8,21,5.0057,5.9765,25.34,29.84,21.58,83.66,1.98,1.81
2025,8,22,5.3429,6.1049,25.38,30.29,21.8,83.84,1.78,0.72
2025,8,23,5.5901,6.3396,25.49,29.76,21.61,82.57,1.82,0.11
2025,8,24,5.5903,6.2878,25.89,31.61,20.68,79.4,1.42,0.08
2025,8,25,6.1934,6.5136,25.27,31.28,21.06,78.88,3.14,0.0
2025,8,26,5.9782,6.594,24.99,31.49,19.26,76.21,3.51,0.0
2025,8,27,5.4792,6.439,25.77,31.43,21.67,76.76,4.37,0.09
2025,8,28,4.6524,6.3984,25.12,30.88,21.78,77.75,4.13,0.22
2025,8,29,4.2334,6.3756,25.28,31.37,21.51,79.21,3.38,1.21
2025,8,30,4.4287,6.5249,26.22,32.67,21.41,76.01,3.01,0.41
2025,8,31,6.0754,6.7606,26.49,32.94,21.24,74.59,2.4,0.04
2025,9,1,5.7439,6.7555,26.73,33.73,21.09,72.46,2.56,0.01
2025,9,2,5.5649,6.6782,26.69,33.51,21.07,75.15,3.12,0.0
2025,9,3,6.2165,6.8064,27.35,34.79,21.67,72.93,2.91,0.0
2025,9,4,5.7725,6.7718,27.0,33.89,21.91,73.2,2.85,2.17
2025,9,5,5.9342,6.7805,26.59,33.61,21.07,71.04,2.49,0.26
2025,9,6,5.5277,6.6473,25.33,31.43,21.36,69.95,3.94,0.0
2025,9,7,5.1864,6.5035,25.15,30.9,20.38,71.73,3.45,0.0
2025,9,8,5.3628,6.5059,26.54,33.65,21.3,72.17,3.09,0.17
2025,9,9,5.1101,6.5904,26.65,33.47,22.18,75.95,3.65,11.74
2025,9,10,4.7338,6.5966,26.24,31.53,22.63,81.4,3.01,10.3
2025,9,11,4.913,6.7159,25.89,29.47,23.02,84.66,2.19,23.1
2025,9,12,6.0924,6.87,26.29,32.37,21.58,77.76,2.91,0.45
2025,9,13,5.9498,6.7399,26.72,33.38,21.24,75.63,2.8,0.14
2025,9,14,5.9162,6.8218,26.81,33.15,21.87,73.43,3.3,0.03
2025,9,15,5.6256,6.7243,26.62,32.5,22.48,74.13,4.05,0.28
2025,9,16,4.9272,6.5878,26.33,31.99,23.07,77.86,3.8,8.74
2025,9,17,5.1703,6.4646,25.2,29.77,22.62,83.65,2.35,21.64
2025,9,18,4.1664,6.6113,25.35,29.55,22.16,82.06,2.25,4.03
2025,9,19,4.9541,6.8326,26.68,32.44,22.55,79.2,2.63,0.44
2025,9,20,5.7338,6.9305,27.64,33.74,22.96,76.63,1.86,0.17
2025,9,21,5.7972,6.9161,27.38,33.08,23.16,78.29,2.18,5.8
2025,9,22,6.33,7.0608,26.62,33.46,21.89,75.66,2.93,0.63
2025,9,23,6.9492,7.1345,27.01,34.59,21.26,70.89,2.79,0.0
2025,9,24,6.0346,6.8165,26.75,33.4,21.95,73.67,2.89,0.81
2025,9,25,5.9597,6.7126,27.53,33.77,22.39,72.81,1.77,0.21
2025,9,26,6.0007,6.9521,28.18,34.35,23.47,73.07,2.21,0.0
2025,9,27,5.6609,6.9511,28.34,34.76,23.3,73.02,2.16,0.34
2025,9,28,6.2038,7.0296,28.76,35.55,23.83,71.57,2.48,0.39
2025,9,29,5.1473,6.6516,27.48,33.2,23.75,76.99,2.18,9.75
2025,9,30,3.3269,6.6259,26.02,28.96,23.67,83.9,2.07,4.02
2025,10,1,5.1137,6.9938,26.92,31.85,23.18,79.79,2.35,4.88
2025,10,2,6.3559,7.2151,27.97,34.73,22.75,72.05,1.87,1.44
2025,10,3,6.4382,7.1402,28.06,35.12,22.68,69.98,2.44,0.05
2025,10,4,5.8752,7.0382,28.09,35.59,22.22,68.2,2.15,0.0
2025,10,5,6.0922,7.0226,27.98,34.61,23.17,70.48,2.07,0.07
2025,10,6,6.168,7.1748,28.38,35.46,23.38,70.25,2.15,0.11
2025,10,7,6.4034,7.1762,28.48,35.56,23.43,68.28,2.07,0.92
2025,10,8,6.8167,7.1657,27.64,34.73,22.59,68.39,3.85,0.54
2025,10,9,6.8369,7.1566,27.39,35.0,22.0,68.15,3.02,0.73
2025,10,10,6.1022,7.0872,27.28,34.32,22.23,71.38,2.59,6.8
2025,10,11,5.9904,7.111,27.96,34.93,22.81,70.63,2.6,1.52
2025,10,12,5.0995,7.2286,27.94,32.92,23.5,73.92,2.75,2.01
2025,10,13,5.9534,7.3138,28.77,35.21,23.97,72.61,1.73,0.73
2025,10,14,6.2004,7.241,28.57,34.14,24.2,73.51,1.87,0.04
2025,10,15,5.6566,7.1712,29.12,36.36,23.81,69.47,2.61,0.0
2025,10,16,6.0905,7.261,29.02,36.4,24.03,70.79,3.03,11.19
2025,10,17,5.809,7.2497,29.01,36.15,23.93,71.57,2.45,4.63
2025,10,18,6.3101,7.182,28.39,33.28,24.52,75.86,1.38,3.09
2025,10,19,5.507,7.0697,28.39,33.36,24.82,75.95,1.31,2.3
2025,10,20,4.9766,6.9228,28.32,33.5,24.61,76.3,0.77,1.72
2025,10,21,3.3902,6.5806,25.44,27.01,23.19,90.47,1.79,40.75
2025,10,22,3.9065,6.691,25.93,30.17,22.49,84.3,1.19,14.07
2025,10,23,4.9267,6.9497,26.84,31.34,23.46,81.7,2.72,0.57
2025,10,24,4.9471,7.1167,26.31,30.37,23.72,85.55,2.57,23.06
2025,10,25,4.8214,7.0728,25.94,29.82,23.95,87.85,2.53,22.99
2025,10,26,4.6867,6.8395,26.76,31.39,23.38,83.75,2.06,4.49
2025,10,27,4.6464,7.1882,26.51,30.19,24.09,84.3,2.32,9.08
2025,10,28,3.6382,7.1203,26.04,29.83,23.1,84.81,1.65,12.14
2025,10,29,4.4098,7.1124,26.8,30.97,23.14,82.29,0.95,14.08
2025,10,30,5.183,7.0788,25.28,27.54,23.9,89.92,1.69,0.99
2025,10,31,5.3863,7.1294,25.97,29.27,23.88,89.58,3.39,4.7
2025,11,1,4.8943,7.2677,25.43,27.24,23.95,91.06,1.62,6.11
2025,11,2,4.5305,7.3361,26.02,28.84,23.68,84.22,1.07,4.38
2025,11,3,5.1502,7.2091,26.25,30.19,23.05,84.54,1.97,1.27
2025,11,4,5.5908,7.1712,25.57,29.15,22.84,85.76,2.14,7.77
2025,11,5,4.2818,6.9734,25.8,29.81,22.34,83.91,1.23,14.39
2025,11,6,4.9519,7.0747,25.87,29.4,23.16,85.91,1.88,22.25
2025,11,7,5.2543,7.0862,26.4,31.39,22.57,82.57,1.5,2.53
2025,11,8,4.8715,7.1398,25.95,29.62,23.16,87.93,2.35,18.86
2025,11,9,4.1609,7.153,26.21,30.18,23.6,86.12,2.07,6.01
2025,11,10,4.9694,7.1933,25.77,28.87,23.65,90.39,2.33,12.87
